item.log.2020-04-24-03:24 Apr 2020 03:52:13,262 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 116711778 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-04:24 Apr 2020 04:16:13,738 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 104486607 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-05:24 Apr 2020 05:07:47,621 INFO  [bitzero.server.controllers.ExtensionController-16] ItemLogger     - 120376763 | jackpot | 2 | added gold to game | 2000000 | 4000
item.log.2020-04-24-05:24 Apr 2020 05:26:10,438 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 112089902 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-05:24 Apr 2020 05:37:09,282 INFO  [bitzero.server.controllers.ExtensionController-4] ItemLogger     - 120363084 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-05:24 Apr 2020 05:44:55,585 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 116700318 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-06:24 Apr 2020 06:07:22,073 INFO  [bitzero.server.controllers.ExtensionController-10] ItemLogger     - 117088861 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-06:24 Apr 2020 06:07:55,459 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 119996627 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-06:24 Apr 2020 06:10:27,361 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 120156498 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-06:24 Apr 2020 06:27:29,478 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 120377344 | jackpot | 2 | added gold to game | 2000000 | 6000
item.log.2020-04-24-06:24 Apr 2020 06:40:03,253 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 116877920 | jackpot | 1 | added gold to game | 200000 | 0
